date,client,library,frequency
2017-04-15,mobile,Sammy,2
2017-04-15,mobile,Scriptaculous,1479
2017-04-15,mobile,ScrollMagic,1099
2017-04-15,mobile,Sea.js,425
2017-04-15,mobile,Socket.IO,1591
2017-04-15,mobile,Spine,36
2017-04-15,mobile,SproutCore,63
2017-04-15,mobile,Spry,25
2017-04-15,mobile,Swiffy,166
2017-04-15,mobile,Tween.js,219
2017-04-15,mobile,Two,3
2017-04-15,mobile,Underscore,18964
2017-04-15,mobile,Vaadin,6
2017-04-15,mobile,Velocity.js,1040
2017-04-15,mobile,Visibility.js,140
2017-04-15,mobile,Vue,804
2017-04-15,mobile,WebFont Loader,10136
2017-04-15,mobile,YUI 2,6364
2017-04-15,mobile,YUI 3,2348
2017-04-15,mobile,Zepto.js,3287
2017-04-15,mobile,Zurb,7534
2017-04-15,mobile,base2,64
2017-04-15,mobile,gRapha&euml;l,3
2017-04-15,mobile,jQuery,387090
2017-04-15,mobile,jQuery Mobile,15182
2017-04-15,mobile,jQuery Tools,10973
2017-04-15,mobile,jQuery UI,97185
2017-04-15,mobile,three.js,254
2017-04-15,mobile,yepnope,53043
2017-05-01,desktop,,1
2017-05-01,desktop,AmplifyJS,282
2017-05-01,desktop,Angular,188
2017-05-01,desktop,AngularJS,9357
2017-05-01,desktop,Backbone,8623
2017-05-01,desktop,Blackbird,270
2017-05-01,desktop,Bootstrap,62108
2017-05-01,desktop,Brewser,1
2017-05-01,desktop,CamanJS,29
2017-05-01,desktop,Can,75
2017-05-01,desktop,Closure Library,223
2017-05-01,desktop,ControlJS,19
2017-05-01,desktop,CreateJS,2031
2017-05-01,desktop,D3,1286
2017-05-01,desktop,DC.js,4
2017-05-01,desktop,Dojo,1347
2017-05-01,desktop,Ember.js,291
2017-05-01,desktop,Ext JS,522
2017-05-01,desktop,Fabric.js,106
2017-05-01,desktop,FastClick,6468
2017-05-01,desktop,FlexSlider,39066
2017-05-01,desktop,FlotCharts,1050
2017-05-01,desktop,FuseJS,11
2017-05-01,desktop,GWT,809
2017-05-01,desktop,Glow,16
2017-05-01,desktop,Google Maps,15920
2017-05-01,desktop,Greensock JS,10735
2017-05-01,desktop,Hammer.js,5807
2017-05-01,desktop,Handlebars,5645
2017-05-01,desktop,Head JS,1891
2017-05-01,desktop,Highcharts,2052
2017-05-01,desktop,IfVisible.js,121
2017-05-01,desktop,InfoVis,10
2017-05-01,desktop,Ink,22
2017-05-01,desktop,Isotope,14452
2017-05-01,desktop,Kendo UI,477
2017-05-01,desktop,Knockout,2370
2017-05-01,desktop,LABjs,1487
2017-05-01,desktop,Leaflet,1348
2017-05-01,desktop,Lo-Dash,9537
2017-05-01,desktop,Mapbox,213
2017-05-01,desktop,Marionette,567
2017-05-01,desktop,Material Design Lite,357
2017-05-01,desktop,Matter.js,3
2017-05-01,desktop,MochiKit,1
2017-05-01,desktop,Modernizr,75709
2017-05-01,desktop,Moment Timezone,2013
2017-05-01,desktop,Moment.js,14923
2017-05-01,desktop,MooTools,8910
2017-05-01,desktop,Mustache,4098
2017-05-01,desktop,Paper.js,29
2017-05-01,desktop,Pixi.js,108
2017-05-01,desktop,Polymer,117
2017-05-01,desktop,Popcorn.js,26
2017-05-01,desktop,Prototype,9069
2017-05-01,desktop,Pusher,779
2017-05-01,desktop,Qooxdoo,13
2017-05-01,desktop,React,1906
2017-05-01,desktop,RequireJS,7464
2017-05-01,desktop,Rico,8
2017-05-01,desktop,RightJS,4
2017-05-01,desktop,Riot,111
2017-05-01,desktop,SPF,27
2017-05-01,desktop,SWFObject,22687
2017-05-01,desktop,Sammy,2
2017-05-01,desktop,Scriptaculous,1814
2017-05-01,desktop,ScrollMagic,1185
2017-05-01,desktop,Sea.js,473
2017-05-01,desktop,Socket.IO,1813
2017-05-01,desktop,Spine,36
2017-05-01,desktop,SproutCore,64
2017-05-01,desktop,Spry,26
2017-05-01,desktop,Swiffy,225
2017-05-01,desktop,Tween.js,247
2017-05-01,desktop,Two,3
2017-05-01,desktop,Underscore,19198
2017-05-01,desktop,Vaadin,5
2017-05-01,desktop,Velocity.js,1129
2017-05-01,desktop,Visibility.js,158
2017-05-01,desktop,Vue,821
2017-05-01,desktop,WebFont Loader,10852
2017-05-01,desktop,YUI 2,7911
2017-05-01,desktop,YUI 3,2552
2017-05-01,desktop,Zepto.js,1380
2017-05-01,desktop,Zurb,7379
2017-05-01,desktop,base2,123
2017-05-01,desktop,gRapha&euml;l,3
2017-05-01,desktop,jQuery,393257
2017-05-01,desktop,jQuery Mobile,8960
2017-05-01,desktop,jQuery Tools,12882
2017-05-01,desktop,jQuery UI,103299
2017-05-01,desktop,three.js,258
2017-05-01,desktop,yepnope,53960
2017-05-01,mobile,,1
2017-05-01,mobile,AmplifyJS,287
2017-05-01,mobile,Angular,175
2017-05-01,mobile,AngularJS,9641
2017-05-01,mobile,Backbone,8512
2017-05-01,mobile,Blackbird,252
2017-05-01,mobile,Bootstrap,61411
2017-05-01,mobile,Brewser,1
2017-05-01,mobile,CamanJS,24
2017-05-01,mobile,Can,128
2017-05-01,mobile,Closure Library,197
2017-05-01,mobile,ControlJS,16
2017-05-01,mobile,CreateJS,2784
2017-05-01,mobile,D3,1191
2017-05-01,mobile,DC.js,4
2017-05-01,mobile,Dojo,1175
2017-05-01,mobile,Ember.js,276
2017-05-01,mobile,Ext JS,524
2017-05-01,mobile,Fabric.js,101
2017-05-01,mobile,FastClick,10599
2017-05-01,mobile,FlexSlider,38135
2017-05-01,mobile,FlotCharts,913
2017-05-01,mobile,FuseJS,11
2017-05-01,mobile,GWT,794
2017-05-01,mobile,Glow,14
2017-05-01,mobile,Google Maps,15595
2017-05-01,mobile,Greensock JS,10121
2017-05-01,mobile,Hammer.js,6894
2017-05-01,mobile,Handlebars,5327
2017-05-01,mobile,Head JS,1729
2017-05-01,mobile,Highcharts,1780
2017-05-01,mobile,IfVisible.js,114
2017-05-01,mobile,InfoVis,8
2017-05-01,mobile,Ink,20
2017-05-01,mobile,Isotope,13949
2017-05-01,mobile,Kendo UI,468
2017-05-01,mobile,Knockout,2226
2017-05-01,mobile,LABjs,1295
2017-05-01,mobile,Leaflet,1159
2017-05-01,mobile,Lo-Dash,9385
2017-05-01,mobile,Mapbox,191
2017-05-01,mobile,Marionette,543
2017-05-01,mobile,Material Design Lite,381
2017-05-01,mobile,Matter.js,3
2017-05-01,mobile,MochiKit,1
2017-05-01,mobile,Modernizr,73630
2017-05-01,mobile,Moment Timezone,1943
2017-05-01,mobile,Moment.js,14249
2017-05-01,mobile,MooTools,8400
2017-05-01,mobile,Mustache,3907
2017-05-01,mobile,Paper.js,28
2017-05-01,mobile,Pixi.js,97
2017-05-01,mobile,Polymer,131
2017-05-01,mobile,Popcorn.js,25
2017-05-01,mobile,Prototype,8512
2017-05-01,mobile,Pusher,728
2017-05-01,mobile,Qooxdoo,11
2017-05-01,mobile,React,1861
2017-05-01,mobile,RequireJS,7340
2017-05-01,mobile,Rico,6
2017-05-01,mobile,RightJS,5
2017-05-01,mobile,Riot,98
2017-05-01,mobile,SPF,15
2017-05-01,mobile,SWFObject,17696
2017-05-01,mobile,Sammy,2
2017-05-01,mobile,Scriptaculous,1472
2017-05-01,mobile,ScrollMagic,1124
2017-05-01,mobile,Sea.js,435
2017-05-01,mobile,Socket.IO,1642
2017-05-01,mobile,Spine,35
2017-05-01,mobile,SproutCore,61
2017-05-01,mobile,Spry,23
2017-05-01,mobile,Swiffy,166
2017-05-01,mobile,Tween.js,225
2017-05-01,mobile,Two,3
2017-05-01,mobile,Underscore,18786
2017-05-01,mobile,Vaadin,6
2017-05-01,mobile,Velocity.js,1071
2017-05-01,mobile,Visibility.js,145
2017-05-01,mobile,Vue,845
2017-05-01,mobile,WebFont Loader,9979
2017-05-01,mobile,YUI 2,6375
2017-05-01,mobile,YUI 3,2365
2017-05-01,mobile,Zepto.js,3496
2017-05-01,mobile,Zurb,7459
2017-05-01,mobile,base2,75
2017-05-01,mobile,gRapha&euml;l,3
2017-05-01,mobile,jQuery,385747
2017-05-01,mobile,jQuery Mobile,15131
2017-05-01,mobile,jQuery Tools,10779
2017-05-01,mobile,jQuery UI,96118
2017-05-01,mobile,three.js,245
2017-05-01,mobile,yepnope,52276
2017-05-15,desktop,,1
2017-05-15,desktop,AmplifyJS,280
2017-05-15,desktop,Angular,193
2017-05-15,desktop,AngularJS,9391
2017-05-15,desktop,Backbone,8681
2017-05-15,desktop,Blackbird,263
2017-05-15,desktop,Bootstrap,62691
2017-05-15,desktop,Brewser,1
2017-05-15,desktop,CamanJS,28
2017-05-15,desktop,Can,79
2017-05-15,desktop,Closure Library,219
2017-05-15,desktop,ControlJS,17
2017-05-15,desktop,CreateJS,2094
2017-05-15,desktop,D3,1266
2017-05-15,desktop,DC.js,3
2017-05-15,desktop,Dojo,1324
2017-05-15,desktop,Ember.js,290
2017-05-15,desktop,Ext JS,521
2017-05-15,desktop,Fabric.js,109
2017-05-15,desktop,FastClick,6528
2017-05-15,desktop,FlexSlider,39120
2017-05-15,desktop,FlotCharts,1037
2017-05-15,desktop,FuseJS,16
2017-05-15,desktop,GWT,838
2017-05-15,desktop,Glow,16
2017-05-15,desktop,Google Maps,15986
2017-05-15,desktop,Greensock JS,10787
2017-05-15,desktop,Hammer.js,5755
2017-05-15,desktop,Handlebars,5642
2017-05-15,desktop,Head JS,1911
2017-05-15,desktop,Highcharts,2057
2017-05-15,desktop,IfVisible.js,132
2017-05-15,desktop,InfoVis,10
2017-05-15,desktop,Ink,21
2017-05-15,desktop,Isotope,14585
2017-05-15,desktop,Kendo UI,475
2017-05-15,desktop,Knockout,2362
2017-05-15,desktop,LABjs,1496
2017-05-15,desktop,Leaflet,1351
2017-05-15,desktop,Lo-Dash,9808
2017-05-15,desktop,Mapbox,220
2017-05-15,desktop,Marionette,555
2017-05-15,desktop,Material Design Lite,374
2017-05-15,desktop,Matter.js,3
2017-05-15,desktop,MochiKit,1
2017-05-15,desktop,Modernizr,75651
2017-05-15,desktop,Moment Timezone,2024
2017-05-15,desktop,Moment.js,14981
2017-05-15,desktop,MooTools,8827
2017-05-15,desktop,Mustache,4171
